time,phase,temperature,battery,signal_strength,cpu_load
0,launch,28.424901178632958,89.54864660963027,85.76853714596986,64.84605796999445
1,launch,32.138865845027595,87.6915043679039,86.49575092031928,64.65413801146006
2,launch,30.32391147844081,88.95203963968126,78.73203035316288,78.60680332920909
3,launch,25.800555326724528,88.50551049782408,83.33953961006641,84.15075420207465
4,launch,33.95759403452603,89.21147751228064,88.65872900988178,78.5041263381963
5,launch,25.086287006890725,92.30471302248365,82.83596386123138,41.959753839200275
6,launch,30.264285456753253,90.3475680035112,84.47195018169211,75.94297030491344
7,launch,29.10975480823625,88.87574976599886,82.29703525788211,64.97004062579829
8,launch,26.105073922431856,89.61454500642651,84.28638615885708,44.909769679593666
9,launch,30.864200905365998,91.37408227068155,89.11498492677138,67.60631519260924
10,launch,32.2780615130288,88.9516497154864,89.57041335150556,50.30810880216045
11,launch,32.05051380337694,89.73025499063256,90.49158121890099,64.32763377033855
12,launch,36.74595693788952,92.12191079608992,78.0997537679609,67.08901795651943
13,launch,29.78418119142742,87.28245442874616,87.8187683511632,55.991145644786876
14,launch,30.72608573706834,89.05993072202375,80.60241361029718,79.20661420689858
15,launch,37.26827839286934,88.66111273355098,88.15424624883553,83.56519154410371
16,launch,27.141732942684513,89.33721586967353,83.93381046328587,56.6098484603541
17,launch,32.994953170323335,88.96212727846671,78.638579067091,63.65638176771093
18,launch,27.613962644816002,93.75931556542434,78.63800463805232,80.61638198268723
19,launch,26.933791115950246,91.1557785448367,88.46486997577841,52.92940532533113
20,launch,28.449560036249988,88.27706930669147,84.4477885394085,68.21622802742951
21,launch,28.83278555371978,85.0012849245728,78.5727502378232,73.50902505183585
22,launch,31.588020947098627,92.87648392417667,88.1176478640929,65.1424665995003
23,launch,27.362105310497128,88.62202658131564,88.02984798752314,83.71641582548045
24,launch,27.710755374601263,87.70300708706145,82.74782351368619,56.9893776292394
25,launch,31.844008957224624,85.47489444727087,84.39477216330253,76.07459167656509
26,launch,29.932079556099183,88.72811362736424,82.83464559870824,64.5298522075774
27,launch,29.654558805283916,88.27240291124087,80.41735530017898,72.70655609982472
28,launch,34.861085412622586,88.17592887757107,84.51662370718074,77.2410001165437
29,launch,29.17506420160491,90.99015171943806,84.98453554375813,75.8243448324697
30,launch,31.012738379275508,89.93413677669355,89.98720206908021,63.504224678475076
31,launch,28.310005930536708,91.01657359356679,78.41639481668172,69.69112134601225
32,launch,32.27281758348854,88.44707433175519,86.36741615372372,44.39674053493022
33,launch,34.720156053388685,90.74618428763735,82.60090051398355,56.153428701129926
34,launch,33.60692633441474,87.38399615923562,89.46920648617346,77.16503619513658
35,launch,36.53381258571913,89.1674977048064,90.46662409848803,83.40686385817082
36,launch,26.924334833603037,93.18067547916031,82.81555131276716,69.36698516342352
37,launch,33.07133495955223,90.78404375919536,81.71227126348778,65.71506286271962
38,launch,27.276177438990977,90.60451561032266,78.609586578345,67.1123374171288
39,launch,31.393611190527125,90.20077762471689,82.20520787106939,68.52263381497707
40,launch,27.837349291029675,90.96382323450547,83.14319753514378,62.61325598306837
41,launch,24.95178887892486,91.6221893084718,89.87430695653642,42.84699796175096
42,launch,27.667155169778095,91.14309104088736,82.55650343787008,71.13723677412013
43,launch,30.65781164446864,90.64278504862173,74.29905818299947,78.27859087173104
44,launch,28.79962515047127,92.08863431482868,74.24260461815356,60.90141134854623
45,launch,35.9041402682407,90.30156978841401,89.08844941401466,59.419204723082444
46,launch,31.532272485792802,89.33445093278395,73.0878741269512,50.2809951354803
47,launch,33.01087619516535,87.76967752931004,86.74108616741086,76.2334825735826
48,launch,31.39130755004812,91.2171983500957,92.10254753783366,73.06834227752017
49,launch,31.450396037667684,87.74545852343165,85.75535747025587,78.92347670313274
50,launch,27.310593762125485,89.95301050258928,86.97052350861593,63.011897631547086
51,launch,35.81990690988684,89.45380358635182,82.32962124546137,66.03975394262014
52,launch,29.905803464361952,91.78879114848326,85.66754199695993,78.18864076823954
53,launch,28.325569009604262,89.98300348075664,79.68245172684824,47.74929625306252
54,launch,29.568328356068058,90.14004457890938,85.51825263861299,73.4321936703673
55,launch,24.561551033229904,91.57887258039185,88.57105259835124,79.7917501854424
